Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Fare Collections Receiver,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",454.55,79552.95,22413.65,101966.6
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",2038.68,31445.93,7863.96,39309.89
Senior Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,70009.93,19841.33,89851.26
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",29431.53,130254.69,30069.9,160324.59
Automotive Mechanic,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,41128.36,10845.78,51974.14
Maintenance Machinist,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",8295.61,130750.36,35210.01,165960.37
Automotive Body & Fender Wrk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,1577.72,425.53,2003.25
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",14074.81,91563.55,22391.0,113954.55
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,74541.11,21209.63,95750.74
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,5265.99,414.61,5680.6
Legal Process Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,63249.61,17954.36,81203.97
Manager II,Human Services,Human Welfare & Neighborhood Development,0.0,122437.94,42244.2,164682.14
Eligibility Worker Supervisor,Human Services,Human Welfare & Neighborhood Development,38.37,104396.37,29428.15,133824.52
Public Svc Aide-Public Works,Human Services,Human Welfare & Neighborhood Development,0.0,7109.93,573.71,7683.64
Public Svc Aide-Public Works,Human Services,Human Welfare & Neighborhood Development,0.0,12771.29,1017.73,13789.02
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,109.95,8.53,118.48
IT Operations Support Admn III,Public Library,Culture & Recreation,0.0,120192.92,32121.47,152314.39
Library Technical Assistant 1,Public Library,Culture & Recreation,12.21,93292.26,25986.76,119279.02
Librarian 1,Public Library,Culture & Recreation,0.0,17495.26,5100.31,22595.57
Library Page,Public Library,Culture & Recreation,354.94,24459.89,7628.73,32088.62
Librarian 1,Public Library,Culture & Recreation,0.0,3648.06,1118.2,4766.26
Custodian,Public Library,Culture & Recreation,436.33,71752.2,20273.96,92026.16
Library Page,Public Library,Culture & Recreation,0.0,37617.52,11921.84,49539.36
Transit Fare Inspector,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1008.0,90476.85,25232.41,115709.26
School Crossing Guard,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,5933.4,450.64,6384.04
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",448.82,76820.2,21665.58,98485.78
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",13833.74,100749.82,25279.42,126029.24
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",6076.73,66933.01,17240.59,84173.6
Automotive Body & Fender Wrk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,2644.68,713.29,3357.97
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4992.33,69348.48,18217.03,87565.51
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,165.02,81006.93,22747.12,103754.05
Eligibility Worker Supervisor,Human Services,Human Welfare & Neighborhood Development,17.67,108096.51,29656.19,137752.7
Administrative Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,83219.23,23472.42,106691.65
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,738.4,87941.05,24549.2,112490.25
Library Technical Assistant 1,Public Library,Culture & Recreation,0.0,91189.68,25612.24,116801.92
Library Technical Assistant 1,Public Library,Culture & Recreation,18.6,83204.62,23412.39,106617.01
Senior Administrative Analyst,Public Library,Culture & Recreation,0.0,107450.91,30355.96,137806.87
Library Assistant,Public Library,Culture & Recreation,0.0,36740.7,10411.95,47152.65
Librarian 1,Public Library,Culture & Recreation,0.0,77374.75,21801.85,99176.6
Engineer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,172260.2,46238.82,218499.02
"Station Agent, Muni Railway",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",17992.53,119735.89,30119.43,149855.32
Transportation Operations Spec,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",79760.23,242778.69,45972.41,288751.1
Senior Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,245.17,18.77,263.94
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,250.0,18.94,268.94
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",21422.0,122024.62,29653.46,151678.08
HSA Social Worker,Human Services,Human Welfare & Neighborhood Development,0.0,97721.8,27261.35,124983.15
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,120810.31,33488.17,154298.48
Administrative Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,110676.41,31265.9,141942.31
Principal Clerk,Human Services,Human Welfare & Neighborhood Development,979.8,58810.41,16440.78,75251.19
Protective Services Supervisor,Human Services,Human Welfare & Neighborhood Development,0.0,108118.16,28937.7,137055.86
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,31070.28,9899.02,40969.3
Junior Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,51388.47,16287.19,67675.66
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,2006.2,74014.0,20648.48,94662.48
Public Svc Aide-Public Works,Human Services,Human Welfare & Neighborhood Development,0.0,3684.57,294.61,3979.18
"Counselor, Juvenile Hall PERS",Juvenile Court,Public Protection,71648.15,163773.86,55308.58,219082.44
Stationary Engineer,Juvenile Court,Public Protection,0.0,52012.34,3964.46,55976.8
"Sr Counselor, JH & LGR (PERS)",Juvenile Court,Public Protection,48853.1,156551.32,63757.28,220308.6
"BdComm Mbr, Grp2,M=$25/Mtg",Juvenile Court,Public Protection,0.0,150.0,8.07,158.07
Librarian 1,Public Library,Culture & Recreation,0.0,77296.18,21847.94,99144.12
Library Assistant,Public Library,Culture & Recreation,0.0,67843.02,19133.51,86976.53
Library Page,Public Library,Culture & Recreation,352.54,33360.26,10496.59,43856.85
Senior Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",20260.59,114772.02,27956.09,142728.11
Transit Car Cleaner,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",9997.15,96759.33,25301.63,122060.96
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",14889.18,108977.8,27406.34,136384.14
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",545.82,28974.47,8011.09,36985.56
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1104.83,128972.24,33302.64,162274.88
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",16545.97,103181.04,25327.99,128509.03
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7844.4,131243.85,35015.53,166259.38
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5636.53,28701.81,6849.61,35551.42
Commissioner No Benefits,Human Services,Human Welfare & Neighborhood Development,0.0,225.0,17.26,242.26
Accountant III,Human Services,Human Welfare & Neighborhood Development,0.0,100068.62,28214.06,128282.68
Public Svc Aide-Public Works,Human Services,Human Welfare & Neighborhood Development,0.0,14205.96,3287.41,17493.37
Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,57116.41,18102.06,75218.47
Public Svc Aide-Public Works,Human Services,Human Welfare & Neighborhood Development,0.0,19889.28,1562.33,21451.61
Senior Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,41205.0,11552.25,52757.25
"Counselor, Juvenile Hall PERS",Juvenile Court,Public Protection,15604.24,72611.07,33125.78,105736.85
Deputy Probation Officer,Juvenile Court,Public Protection,2516.06,51684.22,28184.73,79868.95
"Counselor, Juvenile Hall PERS",Juvenile Court,Public Protection,2300.72,92288.24,51818.18,144106.42
Librarian 1,Public Library,Culture & Recreation,0.0,51901.96,14278.47,66180.43
Library Assistant,Public Library,Culture & Recreation,0.0,41659.42,11828.7,53488.12
Librarian 1,Public Library,Culture & Recreation,0.0,35393.21,10044.06,45437.27
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",20713.27,102252.82,24303.87,126556.69
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",54942.18,155334.45,31770.95,187105.4
Automotive Service Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3826.85,98468.3,26631.0,125099.3
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",84.3,9369.25,2164.71,11533.96
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",29531.19,129005.43,29918.39,158923.82
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7843.57,88492.03,22765.66,111257.69
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5604.78,29236.55,7086.1,36322.65
Prin Human Resources Analyst,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,78732.51,6015.73,84748.24
Administrative Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,109111.09,30765.18,139876.27
Sprv Clincal Psychologist,Human Services,Human Welfare & Neighborhood Development,0.0,132269.0,36430.29,168699.29
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,3884.41,51276.01,13589.4,64865.41
HSA Emp & Training Spec II,Human Services,Human Welfare & Neighborhood Development,0.0,80754.33,22631.8,103386.13
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,12851.94,1027.48,13879.42
Institution Utility Worker,Juvenile Court,Public Protection,0.0,46265.93,13134.81,59400.74
"BdComm Mbr, Grp2,M=$25/Mtg",Juvenile Court,Public Protection,0.0,150.0,11.44,161.44
"Sprv Prob Ofc, Juv Court",Juvenile Court,Public Protection,0.0,138563.72,77448.0,216011.72
General Laborer,Public Library,Culture & Recreation,17458.23,97074.11,23825.39,120899.5
Library Page,Public Library,Culture & Recreation,0.0,1374.95,105.19,1480.14
Library Technical Assistant 2,Public Library,Culture & Recreation,803.98,102419.28,28796.85,131216.13
Library Technical Assistant 1,Public Library,Culture & Recreation,214.28,63841.09,18006.01,81847.1
Librarian 1,Public Library,Culture & Recreation,0.0,105470.63,29783.36,135253.99
Library Page,Public Library,Culture & Recreation,0.0,29916.06,9511.69,39427.75
Custodian,Public Library,Culture & Recreation,0.0,43089.17,17234.16,60323.33
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,1033.66,222.23,1255.89
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",22533.69,118612.19,28173.98,146786.17
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3234.2,24799.53,6146.51,30946.04
Transit Car Cleaner,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",9182.2,96184.14,25294.8,121478.94
Senior Power System Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5444.56,120425.76,33294.08,153719.84
Traffic Signal Electrician,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1207.47,134660.14,36600.82,171260.96
Pr Administrative Analyst,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,147218.4,40616.41,187834.81
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",48817.99,168698.99,35751.96,204450.95
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,1087.7,81512.64,22849.1,104361.74
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,119780.47,33796.14,153576.61
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,114.04,78094.36,21847.95,99942.31
IS Business Analyst-Assistant,Human Services,Human Welfare & Neighborhood Development,75.23,101537.34,28619.51,130156.85
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,11233.84,892.35,12126.19
Library Page,Public Library,Culture & Recreation,369.01,46591.21,14657.75,61248.96
Library Page,Public Library,Culture & Recreation,0.0,33186.9,10476.04,43662.94
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,18320.74,2177.07,20497.81
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",23095.79,118178.72,27858.42,146037.14
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,1650.86,398.41,2049.27
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",35840.21,132601.78,29725.33,162327.11
Executive Secretary 2,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,101655.1,28344.76,129999.86
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7487.41,42369.91,10146.66,52516.57
Custodian,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",51.39,71351.79,20213.49,91565.28
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",6353.19,40810.67,14185.23,54995.9
Transit Car Cleaner,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,10711.17,3293.82,14004.99
Principal Account Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,94676.82,26194.17,120870.99
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,26.21,70273.16,19960.37,90233.53
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,2030.41,124996.99,34671.19,159668.18
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,114771.93,33447.24,148219.17
HSA Social Worker,Human Services,Human Welfare & Neighborhood Development,0.0,45527.73,11939.66,57467.39
